ACCESS TYPE;Value;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
;;;;Demetrovics, Z.;3;;;;;;;Plos One;3;Mental Health;47;University of Science and Technology of China;4;ForskningsrÃ¥det om HÃ¤lsa, Arbetsliv och VÃ¤lfÃ¤rd;2;Thailand;5;;;;
;;;;Emirtekin, E.;3;;;;;;;Revista Espanola De Pedagogia;3;Adolescence;46;Duzce University;4;Fundamental Research Funds of China West Normal University;2;Greece;4;;;;
;;;;Estévez, E.;3;;;;;;;Social Science Journal;3;Adolescents;45;University of Melbourne;4;Humanities and Social Science Fund of Ministry of Education of China;2;Hungary;4;;;;
;;;;Fan, C.Y.;3;;;;;;;Social Sciences;3;Students;45;Università degli Studi della Campania Luigi Vanvitelli;4;Jacobs Foundation;2;Lithuania;4;;;;
;;;;Garaigordobil, M.;3;;;;;;;25th Americas Conference On Information Systems Amcis 2019;2;Adolescent Behavior;42;University of Oxford;4;Ministerio de EconomÃ­a y Competitividad;2;Mexico;4;;;;
;;;;Hsiao, R.C.;3;;;;;;;Aggressive Behavior;2;Prevalence;39;University of Southern California;4;Nanyang Technological University;2;Norway;4;;;;
;;;;Kamel, I.;3;;;;;;;Communications In Computer And Information Science;2;Cross-sectional Study;35;Universidad Miguel Hernandez de Elche;4;National Institute on Drug Abuse;2;Poland;4;;;;
;;;;Kircaburun, K.;3;;;;;;;Computers In The Schools;2;Risk Factor;35;University of Sharjah;4;National Research Foundation of Korea;2;Portugal;4;;;;
;;;;León-Moreno, C.;3;;;;;;;Criminal Behaviour And Mental Health;2;Surveys And Questionnaires;34;Research Foundation - Flanders;4;SecretarÃ­a de Estado de Investigacion, Desarrollo e Innovacion;2;Saudi Arabia;4;;;;
;;;;Liu, H.;3;;;;;;;Crisis;2;Priority Journal;33;Universiti Kebangsaan Malaysia;3;Universidad de Alicante;2;Singapore;4;;;;
;;;;Menin, D.;3;;;;;;;Deviant Behavior;2;Depression;30;Universidad Andrés Bello;3;Universiteit Antwerpen;2;Sweden;4;;;;
;;;;Mishna, F.;3;;;;;;;Emotional And Behavioural Difficulties;2;Cross-Sectional Studies;29;University of Valencia;3;UniversitÃ¤t Potsdam;2;United Arab Emirates;4;;;;
;;;;Montiel, I.;3;;;;;;;Espacios;2;School;28;Bar-Ilan University;3;VetenskapsrÃ¥det;2;Cyprus;3;;;;
;;;;Musitu-Ferrer, D.;3;;;;;;;Health Education And Behavior;2;Gender;27;The University of Texas at Arlington;3;Academy of Medical Sciences;1;Ireland;3;;;;
;;;;Orue, I.;3;;;;;;;IEEE Access;2;Young Adult;27;Sungkyunkwan University;3;Agencia Estatal de InvestigaciÃ³n;1;Peru;3;;;;
;;;;Pabian, S.;3;;;;;;;International Journal Of Cyber Behavior Psychology And Learning;2;Peer Group;24;Bursa Uludağ Üniversitesi;3;American Foundation for Suicide Prevention;1;Philippines;3;;;;
;;;;Romero-Abrio, A.;3;;;;;;;Italian Journal Of Pediatrics;2;Aggression;23;Queensland University of Technology QUT;3;Anadolu Ãniversitesi;1;Russian Federation;3;;;;
;;;;Sorrentino, A.;3;;;;;;;Journal Of Early Adolescence;2;Review;23;King's College London;3;Anhui Medical University;1;South Africa;3;;;;
;;;;Ttofi, M.M.;3;;;;;;;Journal Of Educational Computing Research;2;Machine Learning;22;The University of Texas at Austin;3;AsociaciÃ³n Universitaria Iberoamericana de Postgrado;1;Switzerland;3;;;;
;;;;Walrave, M.;3;;;;;;;Journal Of Research On Adolescence;2;Anxiety;21;University of Florida;3;Asthma Foundation of Western Australia;1;Austria;2;;;;
;;;;Yen, C.F.;3;;;;;;;Journal Of School Violence;2;Social Behavior;21;Anhui Medical University;3;Australian Research Council;1;Brazil;2;;;;
;;;;Yen, C.F.;3;;;;;;;Journal Of Siberian Federal University Humanities And Social Sciences;2;Victimization;21;UT Medical Branch at Galveston;3;BHF Centre of Research Excellence, Oxford;1;Ecuador;2;;;;
;;;;Zhou, Z.K.;3;;;;;;;Multimedia Tools And Applications;2;Schools;20;University of Nottingham;3;BMC Software;1;Egypt;2;;;;
;;;;Aghbari, Z.A.;2;;;;;;;Pakistan Journal Of Psychological Research;2;Social Network;20;University of Washington, Seattle;3;Blue Cross Blue Shield of Michigan Foundation;1;Finland;2;;;;
;;;;Albaladejo-Blázquez, N.;2;;;;;;;Personality And Individual Differences;2;Education;19;University of Toronto;3;Bryan Area Foundation;1;Ghana;2;;;;
;;;;Amutio, A.;2;;;;;;;Prevention Science;2;Cybervictimization;18;Bridgewater State College;3;China Scholarship Council;1;Luxembourg;2;;;;
;;;;Ayllón, E.;2;;;;;;;Proceedings Of IEEE ACS International Conference On Computer Systems And Applications Aiccsa;2;Prevention And Control;18;Universidad de Extremadura;3;Consejo de Desarrollo Científico, Humanístico y Tecnológico, Universidad del Zulia;1;Netherlands;2;;;;
;;;;Baiden, P.;2;;;;;;;Psicothema;2;Risk Factors;18;Deakin University;3;Conselleria d'EducaciÃ³, InvestigaciÃ³, Cultura i Esport;1;Qatar;2;;;;
;;;;Balta, S.;2;;;;;;;Psychiatry Research;2;Statistics And Numerical Data;18;Boston University;3;Cooperative Research Centres, Australian Government Department of Industry;1;Slovakia;2;;;;
;;;;Barkoukis, V.;2;;;;;;;Psychology Of Popular Media Culture;2;Longitudinal Study;17;Flinders University;3;Deanship of Scientific Research, King Saud University;1;Argentina;1;;;;
;;;;Bauman, S.;2;;;;;;;Psychosocial Intervention;2;Violence;17;Institute for Psychology, Budapest;3;Departamento Administrativo de Ciencia, TecnologÃ­a e InnovaciÃ³n (COLCIENCIAS);1;Bahrain;1;;;;
;;;;Bennasar-Veny, M.;2;;;;;;;Revista Espanola De Medicina Legal;2;Child Parent Relation;16;Centers for Disease Control and Prevention;3;Department of Health, Australian Government;1;Bangladesh;1;;;;
;;;;Bergmann, M.C.;2;;;;;;;Scandinavian Journal Of Psychology;2;Empathy;16;Auckland University of Technology;3;Department of Health, Queensland;1;Botswana;1;;;;
;;;;Betts, L.R.;2;;;;;;;Web Conference 2019 Companion Of The World Wide Web Conference Www 2019;2;High School;16;Southern Illinois University;3;DirecciÃ³n para el Desarrollo de la Ciencia y el Conocimiento;1;Croatia;1;;;;
;;;;Blaya, C.;2;;;;;;;Youth And Society;2;Juvenile;16;Eötvös Loránd University;3;Economic and Social Research Council;1;Denmark;1;;;;
;;;;Bracci, M.;2;;;;;;;2018 14th International Conference On Emerging Technologies ICET 2018;1;Learning Systems;16;Universidad de Granada;3;Federación Española de Enfermedades Raras;1;Georgia;1;;;;
;;;;Buelga, S.;2;;;;;;;2018 21st International Conference Of Computer And Information Technology Iccit 2018;1;Suicidal Ideation;16;Universidad de Santiago de Compostela;3;Fonds de Recherche du QuÃ©bec-SociÃ©tÃ© et Culture;1;Iran;1;;;;
;;;;Bussey, K.;2;;;;;;;2018 IEEE 10th International Conference On Humanoid Nanotechnology Information Technology Communication And Control Environment And Management Hnicem 2018;1;High School Student;15;University of Washington School of Medicine;3;Fundamental Research Funds for the Central Universities;1;Kenya;1;;;;
;;;;Callejas-Jerónimo, J.E.;2;;;;;;;2018 International Conference On Intelligent And Innovative Computing Applications Iconic 2018;1;Offender;15;Yaşar Universitesi;3;FundaÃ§Ã£o para a CiÃªncia e a Tecnologia;1;Lebanon;1;;;;
;;;;Campbell, M.;2;;;;;;;2019 10th IFIP International Conference On New Technologies Mobility And Security Ntms 2019 Proceedings And Workshop;1;Self Report;15;University of Malaya;3;Gachon University;1;Macao;1;;;;
;;;;Cao, X.;2;;;;;;;2019 14th International Workshop On Semantic And Social Media Adaptation And Personalization Smap 2019;1;Sex Difference;15;Gettysburg College;3;Generalitat Valenciana;1;Myanmar;1;;;;
;;;;Casas, J.A.;2;;;;;;;2019 5th International Conference On Advanced Computing And Communication Systems Icaccs 2019;1;Sexting;15;Universiteit Gent;3;Göteborgs Universitet;1;Nigeria;1;;;;
;;;;Cava, M.J.;2;;;;;;;2019 6th International Conference On Soft Computing And Machine Intelligence Iscmi 2019;1;Systematic Review;15;Universitat Internacional de Catalunya;3;Health Foundation;1;Trinidad and Tobago;1;;;;
;;;;Chan, C.C.;2;;;;;;;2019 8th International Conference On Affective Computing And Intelligent Interaction Workshops And Demos Aciiw 2019;1;Moral Disengagement;14;National University, Philippines;3;Health Research Board;1;Ukraine;1;;;;
;;;;Chang, Y.P.;2;;;;;;;2019 IEEE 10th International Conference On Awareness Science And Technology Icast 2019 Proceedings;1;Parents;14;Université Côte d'Azur;3;Higher Education Research Promotion;1;Venezuela;1;;;;
;;;;Choi, J.S.;2;;;;;;;2019 IEEE 11th International Conference On Humanoid Nanotechnology Information Technology Communication And Control Environment And Management Hnicem 2019;1;Social Interaction;14;Lehigh University;2;Howard Hughes Medical Institute;1;Undefined;10;;;;
;;;;Choi, K.S.;2;;;;;;;2019 IEEE Data Science Workshop Dsw 2019 Proceedings;1;Coping Behavior;13;Universitat de Barcelona;2;Injury Prevention Research Center;1;;;;;;
;;;;Corsello, G.;2;;;;;;;2019 IEEE International Conference On Consumer Electronics Asia Icce Asia 2019;1;Crime;13;University of Calgary;2;Institutes of Energy and the Environment, Pennsylvania State University;1;;;;;;
;;;;Cuadrado-Gordillo, I.;2;;;;;;;5th International Conference On Information Management Icim 2019;1;Epidemiology;13;State University of New York System;2;Instituto de Salud Carlos III;1;;;;;;
;;;;DeWitt, C.C.;2;;;;;;;Academic Medicine;1;Learning Algorithms;13;Universiti Utara Malaysia;2;International Business Machines Corporation;1;;;;;;
;;;;Del Rey, R.;2;;;;;;;Academic Psychiatry;1;Sexual Behavior;13;Università degli Studi di Siena;2;Israel Science Foundation;1;;;;;;
;;;;Duguid, A.M.;2;;;;;;;African Journal Of Library Archives And Information Science;1;China;12;Delhi Technological University;2;Junta de Extremadura;1;;;;;;
;;;;Erreygers, S.;2;;;;;;;American Journal Of Criminal Justice;1;Cyberbullying Detection;12;Erciyes Üniversitesi;2;King Khalid University;1;;;;;;
;;;;Escortell, R.;2;;;;;;;American Journal Of Tropical Medicine And Hygiene;1;Editorial;12;Arizona State University;2;King’s College London;1;;;;;;
;;;;Estévez, J.F.;2;;;;;;;Anales De Psicologia;1;Physical Activity;12;National Taiwan University;2;Libera UniversitÃ  di Bolzano;1;;;;;;
;;;;Fabito, B.S.;2;;;;;;;Annales Medico Psychologiques;1;Self Esteem;12;Yale University;2;Mahidol University;1;;;;;;
;;;;Fernández-Antelo, I.;2;;;;;;;Annual Review Of Cybertherapy And Telemedicine;1;Spain;12;Nanyang Technological University;2;Ministerio de Ciencia e Innovación;1;;;;;;
;;;;Ferrer-Cascales, R.;2;;;;;;;Anuario De Psicologia;1;United States;12;Pondicherry Engineering College;2;Ministerio de Ciencia, InnovaciÃ³n y Universidades;1;;;;;;
;;;;García-Fernández, J.M.;2;;;;;;;Applications In Software Engineering Proceedings Of The 7th International Conference On Software Process Improvement Cimps 2018;1;Classification (of Information);11;University of Pennsylvania;2;Ministerio de Ciencia, Innovación y Universidades;1;;;;;;
;;;;Gassó, A.M.;2;;;;;;;Applied Research In Quality Of Life;1;Cyberbullying Victimization;11;Tshwane University of Technology;2;Ministerio de Economía y Competitividad;1;;;;;;
;;;;Genta, M.L.;2;;;;;;;Archives Of Suicide Research;1;Girl;11;The University of Hong Kong;2;Ministerio de EducaciÃ³n, Cultura y Deporte;1;;;;;;
;;;;Graf, D.;2;;;;;;;Archives Of Women S Mental Health;1;High Risk Behavior;11;Universidad de Oviedo;2;Ministero dell’Istruzione, dell’Università e della Ricerca;1;;;;;;
;;;;Guo, R.;2;;;;;;;Asian Journal Of Psychiatry;1;Longitudinal Studies;11;Turun yliopisto;2;Ministry of Economy, Trade and Industry;1;;;;;;
;;;;Harper, B.D.;2;;;;;;;Aula Abierta;1;Prevention;11;Malmö Högskola;2;Ministry of Education;1;;;;;;
;;;;Heath, J.B.;2;;;;;;;Autism;1;Psychological Well-being;11;Park Centre for Mental Health;2;Ministry of Education of the People's Republic of China;1;;;;;;
;;;;Hunter, S.C.;2;;;;;;;BMC Psychiatry;1;Self Concept;11;Duke University;2;Ministry of Education, Culture, Sports, Science and Technology;1;;;;;;
;;;;Khan, A.N.;2;;;;;;;BMJ;1;Suicide;11;Hong Kong Polytechnic University;2;Ministry of Electronics and Information technology;1;;;;;;
;;;;Khan, N.A.;2;;;;;;;BMJ Online;1;Distress Syndrome;10;Colorado State University;2;Ministry of Health, State of Israel;1;;;;;;
;;;;Kihara, M.;2;;;;;;;Behavioral Psychology Psicologia Conductual;1;Family;10;Wayne State University;2;Ministry of Higher Education, Malaysia;1;;;;;;
;;;;Kumar, A.;2;;;;;;;Biological Rhythm Research;1;Human Relation;10;Universitat de les Illes Balears;2;Ministry of Industry and Information Technology of the People's Republic of China;1;;;;;;
;;;;Lazuras, L.;2;;;;;;;Biomedical Instrumentation And Technology;1;Interpersonal Communication;10;The University of Arizona;2;Ministry of Science and ICT, South Korea;1;;;;;;
;;;;Lee, J.R.;2;;;;;;;British Journal Of Educational Psychology;1;Interpersonal Relations;10;Universitetet i Oslo;2;NHS Health Scotland;1;;;;;;
;;;;Leiva, A.;2;;;;;;;British Journal Of General Practice;1;Mental Stress;10;University of Mississippi;2;Narodowe Centrum Badań i Rozwoju;1;;;;;;
;;;;Li, W.;2;;;;;;;Canadian Journal Of Behavioural Science;1;Perception;10;Goldsmiths, University of London;2;National Center for Advancing Translational Sciences;1;;;;;;
;;;;Liu, Z.;2;;;;;;;Canadian Journal Of Psychiatry;1;Personality;10;Kyoto University;2;National Center for Injury Prevention and Control;1;;;;;;
;;;;Lu, Y.;2;;;;;;;Canadian Journal Of School Psychology;1;Public Health;10;National Center for Injury Prevention and Control;2;National Office for Philosophy and Social Sciences;1;;;;;;
;;;;López-Castro, L.;2;;;;;;;Celebrity Studies;1;Randomized Controlled Trial;10;Technical University of Berlin;2;National Science Council;1;;;;;;
;;;;Madigan, S.;2;;;;;;;Child And Adolescent Social Work Journal;1;Sex Factor;10;Thammasat University;2;National University of Sciences and Technology;1;;;;;;
;;;;Madison, C.S.;2;;;;;;;Child Indicators Research;1;Sexual And Gender Minority;10;University of Bedfordshire;2;Niedersächsische Ministerium für Wissenschaft und Kultur;1;;;;;;
;;;;Mahase, E.;2;;;;;;;Child Psychiatry And Human Development;1;Social Support;10;City University of Hong Kong;2;Ningbo University;1;;;;;;
;;;;Mahlangu, T.;2;;;;;;;Chinese Journal Of Endemiology;1;Substance Use;10;Universidad de Huelva;2;Nuffield Foundation;1;;;;;;
;;;;Marchigiani, E.;2;;;;;;;Clinical Pediatric Emergency Medicine;1;Traditional Bullying;10;Aristotle University of Thessaloniki;2;Office of Behavioral and Social Sciences Research;1;;;;;;
;;;;McLoughlin, L.T.;2;;;;;;;Clinical Social Work Journal;1;Twitter;10;University of Pittsburgh;2;Ohio University;1;;;;;;
;;;;Menesini, E.;2;;;;;;;Comprehensive Psychiatry;1;Wellbeing;10;The University of Tennessee, Knoxville;2;Once Upon A Time Foundation;1;;;;;;
;;;;Midamba, N.;2;;;;;;;Contemporary Justice Review Issues In Criminal Social And Restorative Justice;1;Young Population;10;Göteborgs Universitet;2;Ontario Centre of Excellence for Child and Youth Mental Health;1;;;;;;
;;;;Miranda, R.;2;;;;;;;Crime And Delinquency;1;Academic Achievement;9;Universidad de Zaragoza;2;Public Health Agency of Canada;1;;;;;;
;;;;Moreno, M.A.;2;;;;;;;Current Opinion In Pediatrics;1;Age;9;University of New Brunswick;2;Queensland University of Technology;1;;;;;;
;;;;Musumari, P.M.;2;;;;;;;Current Opinion In Psychiatry;1;Awareness;9;Università degli Studi di Napoli Federico II;2;Research Grants Council, University Grants Committee;1;;;;;;
;;;;Méndez, I.;2;;;;;;;Cyberpsychology;1;Behavioral Research;9;Gaziantep Üniversitesi;2;Royal Society;1;;;;;;
;;;;Ono-Kihara, M.;2;;;;;;;Developmental Medicine And Child Neurology;1;Bisexuality;9;University of Ghana;2;School of Natural Sciences, Mathematics, and Engineering, California State University, Bakersfield;1;;;;;;
;;;;Oriol, X.;2;;;;;;;Education In The Knowledge Society;1;Cyber Victimization;9;University of South Carolina;2;Shanghai Key Discipline Construction Project;1;;;;;;
;;;;Ortega-Barón, J.;2;;;;;;;Education Sciences;1;Cyberbullying Perpetration;9;Memorial University of Newfoundland;2;Six Talent Peaks Project in Jiangsu Province;1;;;;;;
;;;;Ortega-Ruiz, R.;2;;;;;;;Educational Sciences Theory And Practice;1;Data Mining;9;Macquarie University;2;Status of Women Canada;1;;;;;;
;;;;Ougrin, D.;2;;;;;;;Educational Studies;1;Deep Learning;9;Nanjing Normal University;2;Suan Sunandha Rajabhat University;1;;;;;;
;;;;Palmitesta, P.;2;;;;;;;Egitim Ve Bilim;1;Health Survey;9;Binghamton University State University of New York;2;Temple University;1;;;;;;
;;;;Park, M.;2;;;;;;;Electronic Journal Of General Medicine;1;Internet Addiction;9;University of Liverpool;2;Thammasat University;1;;;;;;
;;;;Parlangeli, O.;2;;;;;;;Elementary Education Online;1;Life Satisfaction;9;Università degli Studi di Firenze;2;Tianjin Normal University;1;;;;;;
;;;;Ponnet, K.;2;;;;;;;Estudos Avancados;1;Note;9;UCL;2;Total;1;;;;;;
;;;;Przybylski, A.K.;2;;;;;;;Europe S Journal Of Psychology;1;Risk Assessment;9;Universidade de Macau;2;TÃ¼rkiye Bilimsel ve Teknolojik AraÅtirma Kurumu;1;;;;;;
;;;;Rodríguez-Enríquez, M.;2;;;;;;;European Journal Of Criminology;1;Sex Factors;9;Hoseo University;2;Universidad Autónoma Chapingo;1;;;;;;
;;;;Rubio, E.;2;;;;;;;European Journal Of Developmental Psychology;1;Sexual Harassment;9;University of Strathclyde;2;Universidad de Zaragoza;1;;;;;;
;;;;Ruiz-Esteban, C.;2;;;;;;;European Journal Of Educational Research;1;Suicide Attempt;9;Universiti Putra Malaysia;2;Universitetet i Bergen;1;;;;;;
;;;;Ruiz-Robledillo, N.;2;;;;;;;European Journal Of Mental Health;1;Youth;9;The University of Sydney;2;Universiti Kebangsaan Malaysia;1;;;;;;
;;;;Scheithauer, H.;2;;;;;;;European Journal Of Pediatrics;1;Adaptation, Psychological;8;University of Michigan, Ann Arbor;2;Universiti Malaya;1;;;;;;
;;;;Schultze-Krumbholz, A.;2;;;;;;;Evolutionary Behavioral Sciences;1;Alcohol Consumption;8;Universitat Wien;2;Universiti Tun Hussein Onn Malaysia;1;;;;;;
;;;;Scott, J.G.;2;;;;;;;Frontiers In Microbiology;1;Childhood;8;Clemson University;2;University of Kansas;1;;;;;;
;;;;Sheeba, J.I.;2;;;;;;;Health Communication;1;Clinical Article;8;Virginia Polytechnic Institute and State University;2;University of Nottingham;1;;;;;;
;;;;Skrzypiec, G.;2;;;;;;;Health Expectations;1;College Students;8;Universidad Complutense de Madrid;2;University of Tennessee;1;;;;;;
;;;;Smith, P.K.;2;;;;;;;Heliyon;1;Human Computer Interaction;8;University of New Hampshire Durham;2;University of Texas at El Paso;1;;;;;;
;;;;Spiel, C.;2;;;;;;;Humanities And Social Sciences Reviews;1;Human Tissue;8;Liverpool John Moores University;2;UniversitÃ¤t Wien;1;;;;;;
;;;;Su, P.Y.;2;;;;;;;IEEE Chilean Conference On Electrical Electronics Engineering Information And Communication Technologies Chilecon 2019;1;Information Use;8;Royal Brisbane and Women's Hospital;2;Università di Bologna;1;;;;;;
;;;;Suguimoto, S.P.;2;;;;;;;IEEE International Conference On Electro Information Technology;1;Meta Analysis;8;South London and Maudsley NHS Foundation Trust;2;Vancouver Foundation;1;;;;;;
;;;;Techasrivichien, T.;2;;;;;;;IEEE Region 10 Annual International Conference Proceedings TENCON;1;Morality;8;University of Ottawa, Canada;2;Victoria University;1;;;;;;
;;;;Tesler, R.;2;;;;;;;Ies 2019 International Electronics Symposium The Role Of Techno Intelligence In Creating An Open Energy System Towards Energy Democracy Proceedings;1;Practice Guideline;8;Auburn University at Montgomery;2;Victoria University of Wellington;1;;;;;;
;;;;Thomas, H.J.;2;;;;;;;Indian Journal Of Psychiatry;1;Procedures;8;Southern Illinois University at Carbondale;2;Virginia Electronic Commerce Technology Center;1;;;;;;
;;;;Tsorbatzoudis, H.;2;;;;;;;Indian Journal Of Public Health;1;Sentiment Analysis;8;The University of Georgia;2;Western University;1;;;;;;
;;;;Tu, C.;2;;;;;;;Information Systems Frontiers;1;Technology;8;Freie Universität Berlin;2;Westpac Bicentennial Foundation;1;;;;;;
;;;;Urbán, R.;2;;;;;;;Injury Prevention;1;Behavior;7;The University of Queensland;2;Xunta de Galicia;1;;;;;;
;;;;Van Ouytsel, J.;2;;;;;;;International Conference On Research And Innovation In Information Systems Icriis;1;Children;7;Michigan State University;2;Zhejiang University;1;;;;;;
;;;;Villarreal-González, M.E.;2;;;;;;;International Congress On Big Data Deep Learning And Fighting Cyber Terrorism Ibigdelft 2018 Proceedings;1;Dating Violence;7;University of Western Australia;2;Undefined;295;;;;;;
;;;;Wang, C.W.;2;;;;;;;International Journal Of Advanced Computer Science And Applications;1;Drug Dependence;7;University of South Australia;2;;;;;;;;
;;;;Wang, G.F.;2;;;;;;;International Journal Of Behavioral Development;1;E-learning;7;University at Buffalo, The State University of New York;2;;;;;;;;
;;;;Wang, P.;2;;;;;;;International Journal Of Clinical And Health Psychology;1;Emotions;7;University of Wisconsin-Madison;2;;;;;;;;
;;;;Xu, N.;2;;;;;;;International Journal Of Cognitive Research In Science Engineering And Education;1;Ethnicity;7;Sheffield Hallam University;2;;;;;;;;
;;;;Yanagida, T.;2;;;;;;;International Journal Of Criminology And Sociology;1;On-line Social Networks;7;University of the Sunshine Coast;2;;;;;;;;
;;;;Yang, J.;2;;;;;;;International Journal Of Cyber Criminology;1;Outcome Assessment;7;Griffith University;2;;;;;;;;
;;;;Yañez, A.M.;2;;;;;;;International Journal Of Eating Disorders;1;Perpetration;7;Nanjing University;2;;;;;;;;
;;;;Yuan, G.;2;;;;;;;International Journal Of Engineering Research And Technology;1;Primary School;7;Quaid-i-Azam University;2;;;;;;;;
;;;;Zagorscak, P.;2;;;;;;;International Journal Of Evaluation And Research In Education;1;Protective Factors;7;Military Kaohsiung General Hospital Taiwan;2;;;;;;;;
;;;;Zilka, G.C.;2;;;;;;;International Journal Of Humanities Education;1;Qualitative Research;7;University of Luxembourg;2;;;;;;;;
;;;;Zsila, Á.;2;;;;;;;International Journal Of Innovative Technology And Exploring Engineering;1;Sexual And Gender Minorities;7;Shanghai Mental Health Center;2;;;;;;;;
;;;;AL-khadher, M.M.A.;1;;;;;;;International Journal Of Law Crime And Justice;1;Social Networking Sites;7;Ariel University;2;;;;;;;;
