ACCESS TYPE;;YEAR;;AUTHOR NAME;;SUBJECT AREA;;DOCUMENT TYPE;;PUBLICATION STAGE;;SOURCE TITLE;;KEYWORD;;AFFILIATION;;FUNDING SPONSOR;;COUNTRY;;SOURCE TYPE;;LANGUAGE;
;;;;Morelli, M.;2;;;;;;;European Journal Of Cultural Studies;1;Questionnaire;11;UNM School of Medicine;2;Ministerio de Ciencia, Innovación y Universidades;1;Lithuania;1;;;;
;;;;Mori, C.;2;;;;;;;European Journal Of Pediatrics;1;Sexuality;11;Università degli Studi di Roma La Sapienza;2;Ministerio de EconomÃ­a y Competitividad;1;Norway;1;;;;
;;;;Sesar, K.;2;;;;;;;Family Journal;1;Prevalence;10;The University of New Mexico;2;National Institute for Health Research;1;Portugal;1;;;;
;;;;Strasburger, V.C.;2;;;;;;;Feminist Legal Studies;1;Internet;8;University of Mostar;2;National Institute of Child Health and Human Development;1;Romania;1;;;;
;;;;Zimmerman, H.;2;;;;;;;Health And Social Care In The Community;1;Priority Journal;8;Family Planning Association of Hong Kong;1;National Institute on Alcohol Abuse and Alcoholism;1;Russian Federation;1;;;;
;;;;Abrha, K.;1;;;;;;;Health Education And Behavior;1;High Risk Behavior;7;Instituto de Medicina Legal;1;National Institute on Drug Abuse;1;Singapore;1;;;;
;;;;Adams Hillard, P.J.;1;;;;;;;International Journal Of Behavioral Development;1;Mental Health;7;European Academy of Paediatrics;1;National Institutes of Health;1;Switzerland;1;;;;
;;;;Aitken, A.;1;;;;;;;International Journal Of Cyber Criminology;1;Motivation;7;Larnaca General Hospital;1;National Science Foundation;1;Undefined;2;;;;
;;;;Akre, C.;1;;;;;;;International Journal Of Environmental Research And Public Health;1;Young Adult;7;Harm Reduction and Health Promotion Programs;1;Office of Behavioral and Social Sciences Research;1;;;;;;
;;;;Al-Ajlouni, Y.A.;1;;;;;;;Iranian Journal Of Psychiatry And Clinical Psychology;1;Anxiety;6;Ritsumeikan University;1;Pennsylvania State University;1;;;;;;
;;;;Alexander, A.A.;1;;;;;;;JAMA Pediatrics;1;Depression;6;Institut d’Assitència Sanitària;1;Ritsumeikan University;1;;;;;;
;;;;Alonso, C.;1;;;;;;;Journal Of Critical Reviews;1;Girl;6;Private attorney;1;School of Medicine, New York University;1;;;;;;
;;;;Altamirano, S.J.A.;1;;;;;;;Journal Of Gay And Lesbian Social Services;1;High School Student;6;Hexagon Care Specialist Therapeutic Services;1;Total;1;;;;;;
;;;;Altorjai, P.;1;;;;;;;Journal Of Interpersonal Violence;1;Human Computer Interaction;6;Association of Hungarian Primary Care Paediatricians;1;Universiteit Antwerpen;1;;;;;;
;;;;Amundsen, R.;1;;;;;;;Journal Of Midwifery And Women S Health;1;Juvenile;6;The Institute of Smart Big Data Analytics;1;University of Edinburgh;1;;;;;;
;;;;Andersen, I.E.;1;;;;;;;Journal Of Sex Research;1;Longitudinal Study;6;The Center for Algorithmic Labor at ISBDA;1;University of Surrey;1;;;;;;
;;;;Anuradha, B.;1;;;;;;;Journal Of Sexual Aggression;1;Sexual Abuse;6;Warwick Medical School;1;Western University;1;;;;;;
;;;;Atabekova, A.;1;;;;;;;Journal Of Tropical Pediatrics;1;Sexual Health;6;Telethon Kids Institute;1;William T. Grant Foundation;1;;;;;;
;;;;Aubrey, J.S.;1;;;;;;;Journal Of Youth And Adolescence;1;Young People;6;Klinikum der Universität München;1;Undefined;60;;;;;;
;;;;Avilés, N.R.;1;;;;;;;Journal Of Youth Studies;1;Behavioral Research;5;Westfälische Wilhelms-Universität Münster;1;;;;;;;;
;;;;Badillo-Urquiola, K.;1;;;;;;;Lancet Child And Adolescent Health;1;Child Pornography;5;Christian Medical College, Vellore;1;;;;;;;;
;;;;Barnes, A.;1;;;;;;;Learning Media And Technology;1;Cross-sectional Study;5;University of Worcester;1;;;;;;;;
;;;;Barrense-Dias, Y.;1;;;;;;;Lectora;1;Editorial;5;Pennsylvania State University;1;;;;;;;;
;;;;Beckmeyer, J.J.;1;;;;;;;Lecture Notes In Computer Science Including Subseries Lecture Notes In Artificial Intelligence And Lecture Notes In Bioinformatics;1;Erotica;5;Columbia University School of Nursing;1;;;;;;;;
;;;;Berhane, Y.;1;;;;;;;Mediterranean Journal Of Clinical Psychology;1;Heterosexuality;5;Albert Einstein College of Medicine of Yeshiva University;1;;;;;;;;
;;;;Bernal Bravo, C.;1;;;;;;;Nasn School Nurse Print;1;Intimacy;5;Baylor College of Medicine;1;;;;;;;;
;;;;Blanca, M.J.;1;;;;;;;Observatorio;1;School;5;Universidad de Malaga;1;;;;;;;;
;;;;Bradbury-Jones, C.;1;;;;;;;Pediatrics;1;Student;5;Indiana University School of Social Work;1;;;;;;;;
;;;;Bradshaw, S.;1;;;;;;;Politica Criminal;1;Surveys And Questionnaires;5;University of West London;1;;;;;;;;
;;;;Bray, B.C.;1;;;;;;;Psihologijske Teme;1;Victim;5;Johns Hopkins University;1;;;;;;;;
;;;;Brem, M.J.;1;;;;;;;Psychology And Sexuality;1;Adolescent Health;4;University of Wisconsin-Eau Claire;1;;;;;;;;
;;;;Brodie, Z.P.;1;;;;;;;Psychology Of Women Quarterly;1;Clinical Article;4;University of Missouri;1;;;;;;;;
;;;;Browne, D.;1;;;;;;;Revista Argentina De Clinica Psicologica;1;Education;4;The University of Hong Kong;1;;;;;;;;
;;;;Burkhart, B.R.;1;;;;;;;Revista De Educacion;1;Longitudinal Studies;4;Universidad de Deusto;1;;;;;;;;
;;;;Buzi, R.S.;1;;;;;;;Revista Espanola De Pedagogia;1;Perception;4;La Trobe University;1;;;;;;;;
;;;;Cala, V.C.;1;;;;;;;Revista Fuentes;1;Pornography;4;University of Southern Mississippi;1;;;;;;;;
;;;;Cariola, L.;1;;;;;;;Risti Revista Iberica De Sistemas E Tecnologias De Informacao;1;Risk Factor;4;Wayne State University;1;;;;;;;;
;;;;Carpintero, M.Á.G.;1;;;;;;;Romanian Journal Of Legal Medicine;1;Sex Offenses;4;The University of Arizona;1;;;;;;;;
;;;;Carreño, T.P.;1;;;;;;;Sex Education;1;Sexual And Gender Minority;4;Universitetet i Oslo;1;;;;;;;;
;;;;Cattelino, E.;1;;;;;;;Sex Roles;1;Sexual Crime;4;University of Mississippi;1;;;;;;;;
;;;;Caurcel-Cara, M.J.;1;;;;;;;Sexual Abuse Journal Of Research And Treatment;1;Sexual Education;4;University of Newcastle, Australia;1;;;;;;;;
;;;;Chacón-López, H.;1;;;;;;;Sexuality And Culture;1;Students;4;Queensland University of Technology QUT;1;;;;;;;;
;;;;Cheng, G.H.L.;1;;;;;;;Suma Psicologica;1;Trust;4;Ohio University;1;;;;;;;;
;;;;Choi, E.P.H.;1;;;;;;;Textual Practice;1;Adolescent Sexual Behavior;3;Southern Illinois University at Edwardsville;1;;;;;;;;
;;;;Choi, H.J.;1;;;;;;;;;Body Image;3;Auburn University;1;;;;;;;;
;;;;Clancy, E.;1;;;;;;;;;Case Report;3;Università degli Studi di Torino;1;;;;;;;;
;;;;Clancy, E.M.;1;;;;;;;;;Crime Victim;3;University of Oregon;1;;;;;;;;
;;;;Clark, M.;1;;;;;;;;;Crime Victims;3;University of Waterloo;1;;;;;;;;
;;;;Coffey, J.;1;;;;;;;;;Cross-Sectional Studies;3;Universidad de Huelva;1;;;;;;;;
;;;;Corona, C.S.;1;;;;;;;;;Ethnicity;3;RUDN University;1;;;;;;;;
;;;;Corrás, T.;1;;;;;;;;;Focus Groups;3;University of Denver;1;;;;;;;;
;;;;Coupey, S.M.;1;;;;;;;;;Grooming;3;The University of Tennessee, Knoxville;1;;;;;;;;
;;;;Crookes, R.L.;1;;;;;;;;;Harassment;3;The Childen's Hospital at Montefiore;1;;;;;;;;
;;;;Cross, D.;1;;;;;;;;;High School;3;Bridgewater State College;1;;;;;;;;
;;;;Cuesta, M.M.;1;;;;;;;;;Human Tissue;3;Coventry University;1;;;;;;;;
;;;;Currin, J.M.;1;;;;;;;;;Intimate Partner Violence;3;Florida Atlantic University;1;;;;;;;;
;;;;Dodge, B.;1;;;;;;;;;Mental Stress;3;Western Sydney University;1;;;;;;;;
;;;;Duncan, D.T.;1;;;;;;;;;Offender;3;University of South Carolina;1;;;;;;;;
;;;;Efstathiou, E.;1;;;;;;;;;Partner Violence;3;Syddansk Universitet;1;;;;;;;;
;;;;Ehman, A.C.;1;;;;;;;;;Privacy;3;Monash University;1;;;;;;;;
;;;;Elmquist, J.A.;1;;;;;;;;;Race;3;University of Surrey;1;;;;;;;;
;;;;Englander, E.;1;;;;;;;;;Review;3;Indiana University Bloomington;1;;;;;;;;
;;;;Falconer, T.;1;;;;;;;;;Risk-Taking;3;Texas Tech University;1;;;;;;;;
;;;;Falligant, J.M.;1;;;;;;;;;Sampling;3;New York University;1;;;;;;;;
;;;;Fan, S.;1;;;;;;;;;Schools;3;Indiana University School of Medicine;1;;;;;;;;
;;;;Fernández-Cruz, V.;1;;;;;;;;;Scientist;3;University of Warwick;1;;;;;;;;
;;;;Ferragut, M.;1;;;;;;;;;Sexual Activity;3;University of Central Florida;1;;;;;;;;
;;;;Festl, R.;1;;;;;;;;;Sexual Coercion;3;Institut Universitaire de Médecine Sociale et Préventive Lausanne;1;;;;;;;;
;;;;Fix, R.L.;1;;;;;;;;;Sexual Harassment;3;Centre Hospitalier Universitaire Vaudois;1;;;;;;;;
;;;;Florimbio, A.R.;1;;;;;;;;;Sexual Intercourse;3;Universidade da Coruña;1;;;;;;;;
;;;;Fonseca, H.;1;;;;;;;;;Sexual Orientation;3;Auckland University of Technology;1;;;;;;;;
;;;;Fortenberry, J.D.;1;;;;;;;;;Sexual Violence;3;Indiana University-Purdue University Indianapolis;1;;;;;;;;
;;;;Fu, T.C.;1;;;;;;;;;Shame;3;University of Strathclyde;1;;;;;;;;
;;;;Fuller-Tyszkiewicz, M.;1;;;;;;;;;Teenagers;3;Oklahoma State University - Center for Health Sciences;1;;;;;;;;
;;;;García-Gómez, A.;1;;;;;;;;;United States;3;The University of Sydney;1;;;;;;;;
;;;;Goedel, W.C.;1;;;;;;;;;Unsafe Sex;3;Universidad Autónoma de Madrid;1;;;;;;;;
;;;;Grigorian, H.L.;1;;;;;;;;;Violence;3;University of Edinburgh;1;;;;;;;;
;;;;Gross, A.M.;1;;;;;;;;;Youth;3;Columbia University Irving Medical Center;1;;;;;;;;
;;;;Gámez-Guadix, M.;1;;;;;;;;;Adolescent Development;2;Universidad de Alcala;1;;;;;;;;
;;;;Hadjipanayis, A.;1;;;;;;;;;Adulthood;2;Universidad del Pais Vasco;1;;;;;;;;
;;;;Hall, T.;1;;;;;;;;;Age;2;Universidad de Santiago de Compostela;1;;;;;;;;
;;;;Handschuh, C.;1;;;;;;;;;Alcohol Consumption;2;Ludwig-Maximilians-Universität München;1;;;;;;;;
;;;;Harrower, K.;1;;;;;;;;;Australia;2;Universidad Católica del Norte;1;;;;;;;;
;;;;Hatcher, R.M.;1;;;;;;;;;Bodies;2;The University of Georgia;1;;;;;;;;
;;;;Herbenick, D.;1;;;;;;;;;Bullying;2;Universidad Pablo de Olavide;1;;;;;;;;
;;;;Hernández Mancha, I.;1;;;;;;;;;Caregiver;2;Columbia University in the City of New York;1;;;;;;;;
;;;;Hinduja, S.;1;;;;;;;;;Cell Phone;2;Swinburne University of Technology;1;;;;;;;;
;;;;Hine, B.;1;;;;;;;;;College Students;2;Trent University;1;;;;;;;;
;;;;Holroyd, E.;1;;;;;;;;;Contraceptive Behavior;2;University of Central Lancashire;1;;;;;;;;
;;;;Howard, D.;1;;;;;;;;;Convenience Sample;2;Michigan State University;1;;;;;;;;
;;;;Hubach, R.D.;1;;;;;;;;;Court;2;University of Leicester;1;;;;;;;;
;;;;Humphreys, T.P.;1;;;;;;;;;Delinquency;2;Universitatea de Medicina si Farmacie Carol Davila din Bucuresti;1;;;;;;;;
;;;;Hunter, S.C.;1;;;;;;;;;Drawing;2;Vilniaus universitetas;1;;;;;;;;
;;;;Ingram, L.A.;1;;;;;;;;;Ecuador;2;Addis Ababa University;1;;;;;;;;
;;;;Ip, P.;1;;;;;;;;;Embase;2;Duke-NUS Medical School Singapore;1;;;;;;;;
;;;;Jeanfreau, M.M.;1;;;;;;;;;Epidemiology;2;University of the West of Scotland;1;;;;;;;;
;;;;John-Leader, F.;1;;;;;;;;;Exploratory Research;2;Birmingham City University;1;;;;;;;;
;;;;Jørgensen, C.R.;1;;;;;;;;;Family Functioning;2;International University of La Rioja;1;;;;;;;;
;;;;Kernsmith, P.D.;1;;;;;;;;;Growth Curve;2;Universidad de las Americas - Ecuador;1;;;;;;;;
;;;;Koletzko, B.;1;;;;;;;;;Hispanic;2;European University Cyprus;1;;;;;;;;
;;;;Korkmazer, B.;1;;;;;;;;;Hong Kong;2;Mekelle University;1;;;;;;;;
;;;;Krug, I.;1;;;;;;;;;Law Enforcement;2;Oslo University Hospital;1;;;;;;;;
;;;;La Cross, A.;1;;;;;;;;;Life Satisfaction;2;Knowledge Media Research Center;1;;;;;;;;
;;;;Laghi, F.;1;;;;;;;;;Masculinity;2;Universidade de Lisboa;1;;;;;;;;
;;;;Lagua, C.A.G.;1;;;;;;;;;Medline;2;Universidad Técnica de Ambato;1;;;;;;;;
;;;;Lauckner, C.;1;;;;;;;;;Meta Analysis;2;Universidad del Azuay;1;;;;;;;;
;;;;Lerebo, W.;1;;;;;;;;;Mobile Phone;2;Universidad Isabel I;1;;;;;;;;
;;;;Lewis, A.;1;;;;;;;;;Pediatrician;2;The City of Edinburgh Council, United Kingdom;1;;;;;;;;
;;;;Ling, M.;1;;;;;;;;;Pediatrics;2;Melbourne School of Psychological Sciences;1;;;;;;;;
;;;;Liong, M.;1;;;;;;;;;Peer Group;2;University Centre for Rural Health;1;;;;;;;;
;;;;Llopis Giménez, C.;1;;;;;;;;;Photography;2;Addis Continental Institute of Public Health;1;;;;;;;;
;;;;Longobardi, C.;1;;;;;;;;;Poverty;2;Faculty of Arts and Social Sciences;1;;;;;;;;
;;;;Loripoor, M.;1;;;;;;;;;Procedures;2;;;;;;;;;;
;;;;Lotfipur-Rafsanjani, S.M.;1;;;;;;;;;PsycINFO;2;;;;;;;;;;
;;;;Lu, Y.;1;;;;;;;;;Qualitative Research;2;;;;;;;;;;
;;;;Maas, M.K.;1;;;;;;;;;Regression Analysis;2;;;;;;;;;;
;;;;Macauda, M.;1;;;;;;;;;Reinforcement;2;;;;;;;;;;
;;;;Marengo, D.;1;;;;;;;;;Responsibility;2;;;;;;;;;;
;;;;Martin-Fumadó, C.;1;;;;;;;;;Revenge Pornography;2;;;;;;;;;;
;;;;Maslyanskaya, S.;1;;;;;;;;;Risk;2;;;;;;;;;;
;;;;Mateos-Pérez, E.;1;;;;;;;;;Risk Factors;2;;;;;;;;;;
;;;;McKee, H.;1;;;;;;;;;School Child;2;;;;;;;;;;
;;;;Mellor, D.J.;1;;;;;;;;;Self Concept;2;;;;;;;;;;
;;;;Monks, H.;1;;;;;;;;;Self-esteem;2;;;;;;;;;;
;;;;Mora-Merchán, J.A.;1;;;;;;;;;Sexual Behaviors;2;;;;;;;;;;
;;;;Mueller-Johnson, K.;1;;;;;;;;;Sexual Development;2;;;;;;;;;;
;;;;Muncaster, L.;1;;;;;;;;;Sexual Partners;2;;;;;;;;;;
;;;;Noguchi, K.;1;;;;;;;;;Sexually Transmitted Disease;2;;;;;;;;;;
;;;;Noll, J.G.;1;;;;;;;;;Social Behavior;2;;;;;;;;;;
;;;;Ohlsson, I.;1;;;;;;;;;Social Interaction;2;;;;;;;;;;
;;;;Olsen, M.;1;;;;;;;;;Social Networks;2;;;;;;;;;;
;;;;Park, S.H.;1;;;;;;;;;Social Status;2;;;;;;;;;;
;;;;Patchin, J.W.;1;;;;;;;;;Stress, Psychological;2;;;;;;;;;;
;;;;Penado, M.;1;;;;;;;;;Systematic Review;2;;;;;;;;;;
;;;;Pickering, M.;1;;;;;;;;;Teacher;2;;;;;;;;;;
;;;;Pineda, C.O.;1;;;;;;;;;Technology;2;;;;;;;;;;
;;;;Pit, S.W.;1;;;;;;;;;Texas;2;;;;;;;;;;
;;;;Pym, T.;1;;;;;;;;;Thematic Analysis;2;;;;;;;;;;
;;;;Quandt, T.;1;;;;;;;;;Theoretical Study;2;;;;;;;;;;
